,0
2022-04-18,907526
2022-04-19,918877
2022-04-20,934238
2022-04-21,958291
2022-04-22,958291
2022-04-23,958291
2022-04-24,972993
2022-04-25,957419
2022-04-26,953933
2022-04-27,923240
2022-04-28,975018
2022-04-29,975018
2022-04-30,975018
2022-05-01,955262
2022-05-02,964412
2022-05-03,943481
2022-05-04,950700
2022-05-05,962928
2022-05-06,962928
2022-05-07,962928
2022-05-08,941766
2022-05-09,919331
2022-05-10,893803
2022-05-11,880792
2022-05-12,914571
2022-05-13,914571
2022-05-14,914571
2022-05-15,891271
2022-05-16,866726
2022-05-17,825182
2022-05-18,822339
2022-05-19,838141
2022-05-20,838141
2022-05-21,838141
2022-05-22,818688
2022-05-23,801714
2022-05-24,762674
2022-05-25,782309
2022-05-26,854240
2022-05-27,854240
2022-05-28,854240
2022-05-29,854240
2022-05-30,780575
2022-05-31,757559
2022-06-01,731781
2022-06-02,724554
2022-06-03,724554
2022-06-04,724554
2022-06-05,702336
2022-06-06,683892
2022-06-07,631026
2022-06-08,627393
2022-06-09,653718
2022-06-10,653718
2022-06-11,653718
2022-06-12,661227
2022-06-13,769937
2022-06-14,755888
2022-06-15,762327
2022-06-16,757733
2022-06-17,757733
2022-06-18,757733
2022-06-19,757733
2022-06-20,745052
2022-06-21,735139
2022-06-22,758505
2022-06-23,768652
2022-06-24,768652
2022-06-25,768652
2022-06-26,757242
2022-06-27,759845
2022-06-28,782406
2022-06-29,685842
2022-06-30,689482
2022-07-01,689482
2022-07-02,689482
2022-07-03,689482
2022-07-04,687943
2022-07-05,666044
2022-07-06,658096
2022-07-07,665792
2022-07-08,665792
2022-07-09,665792
2022-07-10,643141
2022-07-11,618740
2022-07-12,595272
2022-07-13,606834
2022-07-14,628659
2022-07-15,628659
2022-07-16,628659
2022-07-17,636362
2022-07-18,616348
2022-07-19,594035
2022-07-20,589322
2022-07-21,605872
2022-07-22,605872
2022-07-23,605872
2022-07-24,637228
2022-07-25,615515
2022-07-26,597017
2022-07-27,619273
2022-07-28,551023
2022-07-29,551023
2022-07-30,551023
2022-07-31,586370
2022-08-01,566577
2022-08-02,554402
2022-08-03,548849
2022-08-04,555513
2022-08-05,555513
2022-08-06,555513
2022-08-07,583255
2022-08-08,561140
2022-08-09,546978
2022-08-10,548414
2022-08-11,525921
2022-08-12,525921
2022-08-13,525921
2022-08-14,559827
2022-08-15,539278
2022-08-16,530499
2022-08-17,529281
2022-08-18,543194
2022-08-19,543194
2022-08-20,543194
2022-08-21,555139
2022-08-22,530196
2022-08-23,580033
2022-08-24,600109
2022-08-25,610399
2022-08-26,610399
2022-08-27,610399
2022-08-28,627082
2022-08-29,669911
2022-08-30,598859
2022-08-31,574423
2022-09-01,589596
2022-09-02,589596
2022-09-03,589596
2022-09-04,589596
2022-09-05,582921
2022-09-06,581785
2022-09-07,585000
2022-09-08,601944
2022-09-09,601944
2022-09-10,601944
2022-09-11,599932
2022-09-12,617997
2022-09-13,677452
2022-09-14,692971
2022-09-15,704998
2022-09-16,704998
2022-09-17,704998
2022-09-18,695823
2022-09-19,690286
2022-09-20,682027
2022-09-21,697726
2022-09-22,705918
2022-09-23,705918
2022-09-24,705918
2022-09-25,683943
2022-09-26,661920
2022-09-27,658634
2022-09-28,635994
2022-09-29,630975
2022-09-30,630975
2022-10-01,630975
2022-10-02,617850
2022-10-03,622131
2022-10-04,612400
2022-10-05,611855
2022-10-06,614781
2022-10-07,614781
2022-10-08,614781
2022-10-09,614781
2022-10-10,583513
2022-10-11,578283
2022-10-12,574982
2022-10-13,651318
2022-10-14,651318
2022-10-15,651318
2022-10-16,655230
2022-10-17,640613
2022-10-18,635492
2022-10-19,624584
2022-10-20,636785
2022-10-21,636785
2022-10-22,636785
2022-10-23,659483
2022-10-24,636327
2022-10-25,625362
2022-10-26,621627
2022-10-27,596470
2022-10-28,596470
2022-10-29,596470
2022-10-30,551009
2022-10-31,552089
2022-11-01,524883
2022-11-02,524694
2022-11-03,530764
2022-11-04,530764
2022-11-05,530764
2022-11-06,545285
2022-11-07,517340
2022-11-08,510550
2022-11-09,524136
2022-11-10,524136
2022-11-11,524136
2022-11-12,524136
2022-11-13,482354
2022-11-14,472185
2022-11-15,465368
2022-11-16,469610
2022-11-17,476764
2022-11-18,476764
2022-11-19,476764
2022-11-20,512602
2022-11-21,492754
2022-11-22,510532
2022-11-23,510532
2022-11-24,517125
2022-11-25,517125
2022-11-26,517125
2022-11-27,506052
2022-11-28,532791
2022-11-29,458408
2022-11-30,434939
2022-12-01,440836
2022-12-02,440836
2022-12-03,440836
2022-12-04,411431
2022-12-05,410853
2022-12-06,358794
2022-12-07,357709
2022-12-08,370897
2022-12-09,370897
2022-12-10,370897
2022-12-11,343699
2022-12-12,342104
2022-12-13,448106
2022-12-14,467544
2022-12-15,482388
2022-12-16,482388
2022-12-17,482388
2022-12-18,450413
2022-12-19,434922
2022-12-20,429684
2022-12-21,431253
2022-12-22,430977
2022-12-23,430977
2022-12-24,430977
2022-12-25,430977
2022-12-26,409809
2022-12-27,412900
2022-12-28,446685
2022-12-29,386114
2022-12-30,386114
2022-12-31,386114
2023-01-01,386114
2023-01-02,379620
2023-01-03,379653
2023-01-04,375694
2023-01-05,385220
2023-01-06,385220
2023-01-07,385220
2023-01-08,368000
2023-01-09,346426
2023-01-10,310363
2023-01-11,321572
2023-01-12,398974
2023-01-13,398974
2023-01-14,398974
2023-01-15,398974
2023-01-16,377500
2023-01-17,455623
2023-01-18,454615
2023-01-19,471005
2023-01-20,471005
2023-01-21,471005
2023-01-22,579841
2023-01-23,572622
2023-01-24,568553
2023-01-25,567827
2023-01-26,579826
2023-01-27,579826
2023-01-28,579826
2023-01-29,567908
2023-01-30,500852
2023-01-31,506179
2023-02-01,477618
2023-02-02,489948
2023-02-03,489948
2023-02-04,489948
2023-02-05,528118
2023-02-06,495838
2023-02-07,494252
2023-02-08,490201
2023-02-09,501103
2023-02-10,501103
2023-02-11,501103
2023-02-12,526992
2023-02-13,439703
2023-02-14,479039
2023-02-15,475675
2023-02-16,508286
2023-02-17,508286
2023-02-18,508286
2023-02-19,508286
2023-02-20,451307
2023-02-21,363666
2023-02-22,381671
2023-02-23,394017
2023-02-24,394017
2023-02-25,394017
2023-02-26,415005
2023-02-27,351015
2023-02-28,355232
2023-03-01,327193
2023-03-02,340182
2023-03-03,340182
2023-03-04,340182
2023-03-05,344724
2023-03-06,311731
2023-03-07,246969
2023-03-08,208074
2023-03-09,227312
2023-03-10,227312
2023-03-11,227312
2023-03-12,253921
2023-03-13,277643
2023-03-14,285108
2023-03-15,280148
2023-03-16,267101
2023-03-17,267101
2023-03-18,267101
2023-03-19,224604
2023-03-20,199856
2023-03-21,192910
2023-03-22,187365
2023-03-23,200926
2023-03-24,200926
2023-03-25,200926
2023-03-26,166348
2023-03-27,162758
2023-03-28,194336
2023-03-29,177692
2023-03-30,173105
2023-03-31,173105
2023-04-01,173105
2023-04-02,140347
2023-04-03,140688
2023-04-04,112965
2023-04-05,110822
2023-04-06,125004
2023-04-07,125004
2023-04-08,125004
2023-04-09,107469
2023-04-10,86554
2023-04-11,99488
2023-04-12,134890
2023-04-13,144079
2023-04-14,144079
2023-04-15,144079
2023-04-16,252552
2023-04-17,265095
2023-04-18,279942
2023-04-19,280912
2023-04-20,307101
2023-04-21,307101
2023-04-22,307101
2023-04-23,315930
2023-04-24,296209
2023-04-25,293717
2023-04-26,316381
2023-04-27,238463
2023-04-28,238463
2023-04-29,238463
2023-04-30,214882
2023-05-01,188309
2023-05-02,208666
2023-05-03,206714
2023-05-04,215133
2023-05-05,215133
2023-05-06,215133
2023-05-07,184915
2023-05-08,154808
2023-05-09,143314
2023-05-10,139944
2023-05-11,87431
2023-05-12,87431
2023-05-13,87431
2023-05-14,94629
2023-05-15,68332
2023-05-16,57341
2023-05-17,60656
2023-05-18,68335
2023-05-19,68335
2023-05-20,68335
2023-05-21,76546
2023-05-22,49473
2023-05-23,38837
2023-05-24,54493
2023-05-25,37357
2023-05-26,37357
2023-05-27,37357
2023-05-28,37357
2023-05-29,48512
2023-05-30,22892
2023-05-31,23368
2023-06-01,71218
2023-06-02,71218
2023-06-03,71218
2023-06-04,71577
2023-06-05,77500
2023-06-06,87972
2023-06-07,86001
2023-06-08,100939
2023-06-09,100939
2023-06-10,100939
2023-06-11,133059
2023-06-12,134857
2023-06-13,250417
2023-06-14,266875
2023-06-15,327925
2023-06-16,327925
2023-06-17,327925
2023-06-18,327925
2023-06-19,292106
2023-06-20,366505
2023-06-21,377384
2023-06-22,388777
2023-06-23,388777
2023-06-24,388777
2023-06-25,437999
2023-06-26,408561
2023-06-27,465122
2023-06-28,402394
2023-06-29,
